Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13124889853,"Dec 15, 2024, 11:29:06 PM",Prelude,Run,"Ate 5 cookies and felt guilty, but I AM BACK",6329,16.36,,,false,,,activities/13124889853.gpx,,,6329.0,5227.0,16367.2,5.13,3.131,127.5,127.5,325.2,332.0,8.9,0.0,,,,,,,,,1472.0,,,,,,,,,6.0,,,,,0.0,137.0,0.0,,1.0,16509.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.586,0.0,,,,13970.0,,,,,3.159,,,,,,,,media/56A56CAA-7537-47AB-A764-31B45AA6B141.jpg|media/A326A6C1-59C3-4B5F-978E-0AB22E148FA0.jpg|media/F0936D6D-7730-4486-A647-28F419446236.jpg|media/2059DDD6-ECAE-4F60-A15E-5CE7C7BA41E1.jpg|media/6C6DBC22-E9B4-4C8F-8B11-AD470C5D29FF.jpg
13178383456,"Dec 24, 2024, 1:57:27 AM",Fat man run,Run,,3638,4.82,,,false,,,activities/13178383456.gpx,,,3638.0,3201.0,4828.7,2.74,1.508,40.5,40.5,325.1,329.4,9.5,0.0,,,,,,,,,436.0,,,,,,,,,,,,,,,,0.0,,1.0,4891.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.327,0.0,,,,6832.0,,,,,1.528,,,,,,,,""
13196474382,"Dec 26, 2024, 1:50:22 PM",Mountain hike,Run,,1099,1.02,,,false,,,activities/13196474382.gpx,,,1099.0,663.0,1026.3,2.08,1.548,124.6,124.6,116.3,244.2,49.3,12.5,,,,,,,,,155.0,,,,,,,,,,,,,,,,0.0,,1.0,1741.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.934,933.2,,,,1586.0,,,,,2.627,,,,,,,,media/C760A05A-1389-4EB6-96FC-97A38DC2DA67.jpg|media/EA06EDDD-DD88-4B41-8AE2-D8981A3062CC.jpg|media/E69D929B-B937-463B-9DC3-56E7F43B81E7.jpg|media/E8B281E4-FEAD-489F-B402-0E9CEDB02917.jpg|media/39CF924E-3CAF-4653-B2E4-451F4AB25D2C.jpg|media/A6DCEA10-4B36-4399-8F14-44E246CD4462.jpg
13257314504,"Jan 3, 2025, 5:55:53 PM",Light run with tyan,Run,road to 500mi !!!,2452,6.51,,,false,,,activities/13257314504.gpx,,,2452.0,2308.0,6512.7,8.98,2.822,52.9,52.9,325.2,329.4,7.7,0.0,,,,,,,,,587.0,,,,,,,,,5.0,,,,,0.0,41.0,0.0,,1.0,6578.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.656,0.0,,,,6234.0,,,,,2.85,,,,,,,,media/6CD016E7-1097-495E-906E-897C0E209567.jpg|media/585485C7-3790-4A12-8C00-37BD841B4D37.jpg|media/081BD479-D472-4FCD-B179-55B1E7DD8ABD.jpg
13600552223,"Feb 11, 2025, 3:43:33 PM",Lite ting,Run,"First run in new shoes, took a while tp get used to plated shoes, but I rlllly like them over my busted blue pos",3102,6.97,,,false,,,activities/13600552223.gpx,,,3102.0,2660.0,6972.3,4.84,2.621,36.4,36.4,184.3,198.4,12.2,0.0,,,,,,,,,629.0,,,,,,,,,6.0,,,,,0.0,70.0,0.0,,1.0,7053.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.248,599.8,,,,4814.0,,,,,2.652,,,,,,,,media/7E33D434-EC5A-4397-A206-D17D8BB5E946.jpg|media/066479B2-4DAD-49C3-AD2A-01A15F70B4B1.jpg|media/EC99E647-C35E-4C38-B2E3-B2785BDF1115.jpg|media/A2796BD1-CA53-41AE-9D52-F7EDFF4502C2.jpg
13634498697,"Feb 15, 2025, 2:05:50 PM",Mr. Moiz Marathon,Run,very light campus run cuz greenway was FLOODED,3085,7.93,,,false,,,activities/13634498697.gpx,,,3085.0,3045.0,7936.0,5.233,2.606,108.9,108.9,187.3,237.6,11.3,0.1,,,,,,,,,729.0,,,,,,,,,2.0,,,,,0.0,14.0,0.0,,1.0,8174.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.572,241.5,,,,5456.0,,,,,2.685,,,,,,,,media/374B56FE-48C7-4437-A62C-CB700012C939.jpg|media/D496D72E-3983-43EA-A3A8-0EA86137F830.jpg|media/3572A362-3E96-4DA9-8622-633DF9DFB216.jpg
13879572401,"Mar 14, 2025, 11:11:38 AM",Denis and Friend Jog,Run,"had to stop a ton cuz of anton, but still had fun and glad I woke up early 😁",3450,9.14,,,false,,,activities/13879572401.gpx,,,3450.0,3381.0,9143.4,7.0,2.704,109.0,109.0,196.3,237.6,10.8,0.0,,,,,,,,,832.0,,,,,,,,,,,,,,,,0.0,,1.0,9327.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.65,268.9,,,,7254.0,,,,,2.759,,,,,,,,""
14233461921,"Apr 20, 2025, 1:52:14 PM",Ruin Run,Run,Lot of fun!,1461,4.96,,,false,,,activities/14233461921.gpx,,,1461.0,1281.0,4960.1,5.86,3.872,13.8,13.8,184.3,189.4,7.1,0.0,,,,,,,,,445.0,,,,,,,,,,,,,,,,0.0,,1.0,4985.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.395,3.8,,,,3452.0,,,,,3.892,,,,,,,,media/07F23CB2-8F38-4C4D-86BF-9B2D0ABB3EF4.jpg|media/9992FE43-A3CE-4724-9D69-856CE70C65EA.jpg|media/352E6ADA-187D-4CD8-8A65-837E69F12AF7.jpg
14322705991,"Apr 29, 2025, 2:34:44 PM",warmup to  next post,Run,"",497,1.78,,,false,,,activities/14322705991.gpx,,,497.0,494.0,1785.3,4.78,3.614,19.7,19.7,199.1,219.0,4.2,1.1,,,,,,,,,163.0,,,,,,,,,,,,,,,,0.0,,1.0,1831.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.592,189.7,,,,1326.0,,,,,3.708,,,,,,,,""
14322809190,"Apr 29, 2025, 2:47:24 PM",85% effort mile,Run,"honestly, I’m pretty surprised at how fast I am this was a solid 85%. I still had a solid amount of gas in the tank, next time will start faster and shoot for 5:15",395,1.83,,,false,,,activities/14322809190.gpx,,,395.0,395.0,1838.8,6.56,4.655,0.0,0.0,199.1,218.5,2.2,-1.0,,,,,,,,,161.0,,,,,,,,,8.0,,,,,0.0,17.0,0.0,,1.0,1808.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.655,191.1,,,,1084.0,,,,,4.579,,,,,,,,media/2D735961-B2A4-4F5E-9410-5C48F8515960.jpg|media/C1E0F0C4-D07A-45B8-9E36-46C3A078C711.jpg
14410954498,"May 8, 2025, 12:27:07 AM",Comfy 65% - Astro run,Run,"Post back and bi had sone extra energy and looped astro 4x, more importantly I AM HOME. I will eat this track alive this summer!!!",403,1.62,,,false,,,activities/14410954498.gpx,,,403.0,403.0,1623.4,4.78,4.028,13.1,13.1,325.4,329.4,6.3,0.1,,,,,,,,,146.0,,,,,,,,,,,,,,,,0.0,,1.0,1639.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.028,0.0,,,,1122.0,,,,,4.069,,,,,,,,media/DB80E6D0-3C9A-4BC6-98AE-3EC756E55E31.jpg|media/6249AFFC-9E4A-4BFB-9781-454374A58C82.jpg
14436563168,"May 10, 2025, 2:19:21 PM",I DID IT MY WAY,Run,Post game run 😈,1388,4.88,,,false,,,activities/14436563168.gpx,,,1388.0,1372.0,4882.0,6.56,3.558,44.1,44.1,197.5,230.7,14.4,-0.6,,,,,,,,,438.0,,,,,,,,,7.0,,,,,0.0,43.0,0.0,,1.0,4917.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.517,392.5,,,,3234.0,,,,,3.584,,,,,,,,media/D5EA1012-3C27-4A6B-8985-90533ED4A159.jpg|media/B868F23D-6997-43AF-8686-E01A4603763A.jpg|media/6080ABDB-A7DE-4377-97F6-8EB44420E4A5.jpg|media/E56B17DE-2256-45DF-8AC4-DC2A03F5D6CC.jpg
14500423694,"May 16, 2025, 4:17:11 PM",80% run,Run,dennis joined me!,3616,10.07,,,false,,,activities/14500423694.gpx,,,3616.0,3583.0,10077.0,4.84,2.812,121.0,121.0,285.7,340.2,25.9,0.0,,,,,,,,,918.0,,,,,,,,,,,,,,,,0.0,,1.0,10291.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.787,0.0,,,,7258.0,,,,,2.872,,,,,,,,""
14518943647,"May 18, 2025, 12:28:39 PM",50% E - Ring run #1,Run,"walked alot to look for 💍, but I figured out how to run thru side cramps",1701,4.84,,,false,,,activities/14518943647.gpx,,,1701.0,1659.0,4843.8,6.8,2.92,43.8,43.8,285.7,340.2,10.1,-0.2,,,,,,,,,436.0,,,,,,,,,6.0,,,,,0.0,43.0,0.0,,1.0,4887.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.848,0.0,,,,4358.0,,,,,2.946,,,,,,,,media/9D18A7EC-E6ED-4D10-9689-08648BD6D8A5.jpg
14540988773,"May 20, 2025, 11:27:47 AM",65% E - Lunch Run,Run,"",476,1.61,,,false,,,activities/14540988773.gpx,,,476.0,476.0,1612.4,5.34,3.387,17.3,12.4,325.4,336.5,5.9,0.2,,,,,,,,,146.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1639.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.387,0.0,,,,1212.0,,,,,3.443,,,,,,,,""
